"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","02.04.2022 08:15 - 02.04.2022 08:30 (UTC)","7670","2777","19468"
"Germany (DE)","02.04.2022 08:30 - 02.04.2022 08:45 (UTC)","8244","2620","19675"
"Germany (DE)","02.04.2022 08:45 - 02.04.2022 09:00 (UTC)","8787","2510","20103"
"Germany (DE)","02.04.2022 09:00 - 02.04.2022 09:15 (UTC)","9156","2485","20171"
"Germany (DE)","02.04.2022 09:15 - 02.04.2022 09:30 (UTC)","9462","2429","20220"
"Germany (DE)","02.04.2022 09:30 - 02.04.2022 09:45 (UTC)","9741","2369","20211"
"Germany (DE)","02.04.2022 09:45 - 02.04.2022 10:00 (UTC)","10114","2306","20303"
"Germany (DE)","02.04.2022 10:00 - 02.04.2022 10:15 (UTC)","10380","2249","20167"
"Germany (DE)","02.04.2022 10:15 - 02.04.2022 10:30 (UTC)","10546","2141","19860"
"Germany (DE)","02.04.2022 10:30 - 02.04.2022 10:45 (UTC)","10771","2064","19519"
"Germany (DE)","02.04.2022 10:45 - 02.04.2022 11:00 (UTC)","10838","2043","19157"
"Germany (DE)","02.04.2022 11:00 - 02.04.2022 11:15 (UTC)","11011","2031","19492"
"Germany (DE)","02.04.2022 11:15 - 02.04.2022 11:30 (UTC)","10962","1996","19656"
"Germany (DE)","02.04.2022 11:30 - 02.04.2022 11:45 (UTC)","11012","1923","19493"
"Germany (DE)","02.04.2022 11:45 - 02.04.2022 12:00 (UTC)","10892","1878","19403"
"Germany (DE)","02.04.2022 12:00 - 02.04.2022 12:15 (UTC)","10852","1595","19264"
"Germany (DE)","02.04.2022 12:15 - 02.04.2022 12:30 (UTC)","10914","1554","18663"
"Germany (DE)","02.04.2022 12:30 - 02.04.2022 12:45 (UTC)","10702","1473","18513"
"Germany (DE)","02.04.2022 12:45 - 02.04.2022 13:00 (UTC)","10511","1390","18735"
"Germany (DE)","02.04.2022 13:00 - 02.04.2022 13:15 (UTC)","10051","1345","18380"
"Germany (DE)","02.04.2022 13:15 - 02.04.2022 13:30 (UTC)","9731","1327","18346"
"Germany (DE)","02.04.2022 13:30 - 02.04.2022 13:45 (UTC)","9187","1313","18325"
"Germany (DE)","02.04.2022 13:45 - 02.04.2022 14:00 (UTC)","8822","1479","17995"
"Germany (DE)","02.04.2022 14:00 - 02.04.2022 14:15 (UTC)","8210","1520","17884"
"Germany (DE)","02.04.2022 14:15 - 02.04.2022 14:30 (UTC)","7562","1464","17969"
"Germany (DE)","02.04.2022 14:30 - 02.04.2022 14:45 (UTC)","6950","1406","18234"
"Germany (DE)","02.04.2022 14:45 - 02.04.2022 15:00 (UTC)","6380","1376","17780"
"Germany (DE)","02.04.2022 15:00 - 02.04.2022 15:15 (UTC)","5736","1381","17601"
"Germany (DE)","02.04.2022 15:15 - 02.04.2022 15:30 (UTC)","5073","1358","17561"
"Germany (DE)","02.04.2022 15:30 - 02.04.2022 15:45 (UTC)","4437","1286","17160"
"Germany (DE)","02.04.2022 15:45 - 02.04.2022 16:00 (UTC)","3769","1240","16610"
"Germany (DE)","02.04.2022 16:00 - 02.04.2022 16:15 (UTC)","3042","1233","16201"
"Germany (DE)","02.04.2022 16:15 - 02.04.2022 16:30 (UTC)","2410","1276","15550"
"Germany (DE)","02.04.2022 16:30 - 02.04.2022 16:45 (UTC)","1803","1290","15168"
"Germany (DE)","02.04.2022 16:45 - 02.04.2022 17:00 (UTC)","1256","1310","14067"
"Germany (DE)","02.04.2022 17:00 - 02.04.2022 17:15 (UTC)","796","1370","13180"
"Germany (DE)","02.04.2022 17:15 - 02.04.2022 17:30 (UTC)","431","1464","12465"
"Germany (DE)","02.04.2022 17:30 - 02.04.2022 17:45 (UTC)","174","1477","12000"
"Germany (DE)","02.04.2022 17:45 - 02.04.2022 18:00 (UTC)","44","1453","11563"
"Germany (DE)","02.04.2022 18:00 - 02.04.2022 18:15 (UTC)","4","1375","11182"
"Germany (DE)","02.04.2022 18:15 - 02.04.2022 18:30 (UTC)","0","1316","10462"
"Germany (DE)","02.04.2022 18:30 - 02.04.2022 18:45 (UTC)","0","1262","10292"
"Germany (DE)","02.04.2022 18:45 - 02.04.2022 19:00 (UTC)","0","1129","10144"
"Germany (DE)","02.04.2022 19:00 - 02.04.2022 19:15 (UTC)","0","1032","9814"
"Germany (DE)","02.04.2022 19:15 - 02.04.2022 19:30 (UTC)","0","1044","9830"
"Germany (DE)","02.04.2022 19:30 - 02.04.2022 19:45 (UTC)","0","1139","9671"
"Germany (DE)","02.04.2022 19:45 - 02.04.2022 20:00 (UTC)","0","1317","9451"
"Germany (DE)","02.04.2022 20:00 - 02.04.2022 20:15 (UTC)","0","1384","9354"
"Germany (DE)","02.04.2022 20:15 - 02.04.2022 20:30 (UTC)","0","1383","9251"
"Germany (DE)","02.04.2022 20:30 - 02.04.2022 20:45 (UTC)","0","1445","9112"
"Germany (DE)","02.04.2022 20:45 - 02.04.2022 21:00 (UTC)","0","1465","8733"
"Germany (DE)","02.04.2022 21:00 - 02.04.2022 21:15 (UTC)","0","1578","8356"
"Germany (DE)","02.04.2022 21:15 - 02.04.2022 21:30 (UTC)","0","1696","8179"
"Germany (DE)","02.04.2022 21:30 - 02.04.2022 21:45 (UTC)","0","1678","7854"
"Germany (DE)","02.04.2022 21:45 - 02.04.2022 22:00 (UTC)","0","1426","7710"
"Germany (DE)","02.04.2022 22:00 - 02.04.2022 22:15 (UTC)","0","1144","7372"
"Germany (DE)","02.04.2022 22:15 - 02.04.2022 22:30 (UTC)","0","1070","7178"
"Germany (DE)","02.04.2022 22:30 - 02.04.2022 22:45 (UTC)","0","998","6906"
"Germany (DE)","02.04.2022 22:45 - 02.04.2022 23:00 (UTC)","0","1050","6699"
"Germany (DE)","02.04.2022 23:00 - 02.04.2022 23:15 (UTC)","0","906","6478"
"Germany (DE)","02.04.2022 23:15 - 02.04.2022 23:30 (UTC)","0","868","6321"
"Germany (DE)","02.04.2022 23:30 - 02.04.2022 23:45 (UTC)","0","926","6220"
"Germany (DE)","02.04.2022 23:45 - 03.04.2022 00:00 (UTC)","0","1068","6097"
"Germany (DE)","03.04.2022 00:00 - 03.04.2022 00:15 (UTC)","0","1200","6030"
"Germany (DE)","03.04.2022 00:15 - 03.04.2022 00:30 (UTC)","0","1267","5732"
"Germany (DE)","03.04.2022 00:30 - 03.04.2022 00:45 (UTC)","0","1399","5576"
"Germany (DE)","03.04.2022 00:45 - 03.04.2022 01:00 (UTC)","0","1488","5319"
"Germany (DE)","03.04.2022 01:00 - 03.04.2022 01:15 (UTC)","0","1553","5104"
"Germany (DE)","03.04.2022 01:15 - 03.04.2022 01:30 (UTC)","0","1777","5030"
"Germany (DE)","03.04.2022 01:30 - 03.04.2022 01:45 (UTC)","0","1790","5056"
"Germany (DE)","03.04.2022 01:45 - 03.04.2022 02:00 (UTC)","0","1842","5120"
"Germany (DE)","03.04.2022 02:00 - 03.04.2022 02:15 (UTC)","0","2068","5003"
"Germany (DE)","03.04.2022 02:15 - 03.04.2022 02:30 (UTC)","0","2270","5006"
"Germany (DE)","03.04.2022 02:30 - 03.04.2022 02:45 (UTC)","0","2192","4974"
"Germany (DE)","03.04.2022 02:45 - 03.04.2022 03:00 (UTC)","0","1969","5003"
"Germany (DE)","03.04.2022 03:00 - 03.04.2022 03:15 (UTC)","0","2165","5066"
"Germany (DE)","03.04.2022 03:15 - 03.04.2022 03:30 (UTC)","0","2364","5140"
"Germany (DE)","03.04.2022 03:30 - 03.04.2022 03:45 (UTC)","0","2195","5241"
"Germany (DE)","03.04.2022 03:45 - 03.04.2022 04:00 (UTC)","0","2296","5192"
"Germany (DE)","03.04.2022 04:00 - 03.04.2022 04:15 (UTC)","0","2102","5314"
"Germany (DE)","03.04.2022 04:15 - 03.04.2022 04:30 (UTC)","0","2230","5479"
"Germany (DE)","03.04.2022 04:30 - 03.04.2022 04:45 (UTC)","10","2118","5551"
"Germany (DE)","03.04.2022 04:45 - 03.04.2022 05:00 (UTC)","86","2096","5705"
"Germany (DE)","03.04.2022 05:00 - 03.04.2022 05:15 (UTC)","275","2355","5843"
"Germany (DE)","03.04.2022 05:15 - 03.04.2022 05:30 (UTC)","676","2453","5938"
"Germany (DE)","03.04.2022 05:30 - 03.04.2022 05:45 (UTC)","1354","2258","5932"
"Germany (DE)","03.04.2022 05:45 - 03.04.2022 06:00 (UTC)","2213","2204","5965"
"Germany (DE)","03.04.2022 06:00 - 03.04.2022 06:15 (UTC)","3205","1799","5862"
"Germany (DE)","03.04.2022 06:15 - 03.04.2022 06:30 (UTC)","4248","1740","5610"
"Germany (DE)","03.04.2022 06:30 - 03.04.2022 06:45 (UTC)","5375","1817","5128"
"Germany (DE)","03.04.2022 06:45 - 03.04.2022 07:00 (UTC)","6604","1906","4553"
"Germany (DE)","03.04.2022 07:00 - 03.04.2022 07:15 (UTC)","7817","1844","4063"
"Germany (DE)","03.04.2022 07:15 - 03.04.2022 07:30 (UTC)","8948","1859","3767"
"Germany (DE)","03.04.2022 07:30 - 03.04.2022 07:45 (UTC)","10060","1686","3781"
"Germany (DE)","03.04.2022 07:45 - 03.04.2022 08:00 (UTC)","11224","1575","3872"
"Germany (DE)","03.04.2022 08:00 - 03.04.2022 08:15 (UTC)","12305","2146","4400"
"Germany (DE)","03.04.2022 08:15 - 03.04.2022 08:30 (UTC)","13285","2184","4955"
"Germany (DE)","03.04.2022 08:30 - 03.04.2022 08:45 (UTC)","14216","2209","5555"
"Germany (DE)","03.04.2022 08:45 - 03.04.2022 09:00 (UTC)","14832","2295","6101"
"Germany (DE)","03.04.2022 09:00 - 03.04.2022 09:15 (UTC)","15267","2286","6756"
"Germany (DE)","03.04.2022 09:15 - 03.04.2022 09:30 (UTC)","15714","2328","7242"
"Germany (DE)","03.04.2022 09:30 - 03.04.2022 09:45 (UTC)","15902","2571","7443"
"Germany (DE)","03.04.2022 09:45 - 03.04.2022 10:00 (UTC)","16248","2778","7821"
"Germany (DE)","03.04.2022 10:00 - 03.04.2022 10:15 (UTC)","16200","2660","8206"
"Germany (DE)","03.04.2022 10:15 - 03.04.2022 10:30 (UTC)","16460","2637","8639"
"Germany (DE)","03.04.2022 10:30 - 03.04.2022 10:45 (UTC)","16573","2726","9040"
"Germany (DE)","03.04.2022 10:45 - 03.04.2022 11:00 (UTC)","16823","2759","9321"
"Germany (DE)","03.04.2022 11:00 - 03.04.2022 11:15 (UTC)","17253","2823","9501"
"Germany (DE)","03.04.2022 11:15 - 03.04.2022 11:30 (UTC)","17212","3012","9635"
"Germany (DE)","03.04.2022 11:30 - 03.04.2022 11:45 (UTC)","17153","3227","9955"
"Germany (DE)","03.04.2022 11:45 - 03.04.2022 12:00 (UTC)","17171","3291","9913"
"Germany (DE)","03.04.2022 12:00 - 03.04.2022 12:15 (UTC)","16865","3239","10390"
"Germany (DE)","03.04.2022 12:15 - 03.04.2022 12:30 (UTC)","16288","3328","10741"
"Germany (DE)","03.04.2022 12:30 - 03.04.2022 12:45 (UTC)","15978","3514","11346"
"Germany (DE)","03.04.2022 12:45 - 03.04.2022 13:00 (UTC)","15711","3558","11804"
"Germany (DE)","03.04.2022 13:00 - 03.04.2022 13:15 (UTC)","15156","3503","12215"
"Germany (DE)","03.04.2022 13:15 - 03.04.2022 13:30 (UTC)","14875","3801","12330"
"Germany (DE)","03.04.2022 13:30 - 03.04.2022 13:45 (UTC)","14020","3682","12514"
"Germany (DE)","03.04.2022 13:45 - 03.04.2022 14:00 (UTC)","13407","3703","12632"
"Germany (DE)","03.04.2022 14:00 - 03.04.2022 14:15 (UTC)","12772","3817","12958"
"Germany (DE)","03.04.2022 14:15 - 03.04.2022 14:30 (UTC)","12030","3853","13247"
"Germany (DE)","03.04.2022 14:30 - 03.04.2022 14:45 (UTC)","11509","3936","13678"
"Germany (DE)","03.04.2022 14:45 - 03.04.2022 15:00 (UTC)","10434","3951","13920"
"Germany (DE)","03.04.2022 15:00 - 03.04.2022 15:15 (UTC)","9458","3872","13672"
"Germany (DE)","03.04.2022 15:15 - 03.04.2022 15:30 (UTC)","8269","4026","13320"
"Germany (DE)","03.04.2022 15:30 - 03.04.2022 15:45 (UTC)","7140","4088","13146"
"Germany (DE)","03.04.2022 15:45 - 03.04.2022 16:00 (UTC)","6100","4028","13105"
"Germany (DE)","03.04.2022 16:00 - 03.04.2022 16:15 (UTC)","5037","4039","12877"
"Germany (DE)","03.04.2022 16:15 - 03.04.2022 16:30 (UTC)","3942","3905","12446"
"Germany (DE)","03.04.2022 16:30 - 03.04.2022 16:45 (UTC)","2919","3855","12195"
"Germany (DE)","03.04.2022 16:45 - 03.04.2022 17:00 (UTC)","2011","4008","11872"
"Germany (DE)","03.04.2022 17:00 - 03.04.2022 17:15 (UTC)","1258","4230","11654"
"Germany (DE)","03.04.2022 17:15 - 03.04.2022 17:30 (UTC)","662","4274","11376"
"Germany (DE)","03.04.2022 17:30 - 03.04.2022 17:45 (UTC)","251","4389","11523"
"Germany (DE)","03.04.2022 17:45 - 03.04.2022 18:00 (UTC)","49","4440","12098"
"Germany (DE)","03.04.2022 18:00 - 03.04.2022 18:15 (UTC)","4","4295","12242"
"Germany (DE)","03.04.2022 18:15 - 03.04.2022 18:30 (UTC)","1","4291","12755"
"Germany (DE)","03.04.2022 18:30 - 03.04.2022 18:45 (UTC)","0","4209","12847"
"Germany (DE)","03.04.2022 18:45 - 03.04.2022 19:00 (UTC)","0","4211","12998"
"Germany (DE)","03.04.2022 19:00 - 03.04.2022 19:15 (UTC)","0","4284","13376"
"Germany (DE)","03.04.2022 19:15 - 03.04.2022 19:30 (UTC)","0","4325","13679"
"Germany (DE)","03.04.2022 19:30 - 03.04.2022 19:45 (UTC)","0","4379","14246"
"Germany (DE)","03.04.2022 19:45 - 03.04.2022 20:00 (UTC)","0","4486","14536"
"Germany (DE)","03.04.2022 20:00 - 03.04.2022 20:15 (UTC)","0","4657","14842"
"Germany (DE)","03.04.2022 20:15 - 03.04.2022 20:30 (UTC)","0","4829","15488"
"Germany (DE)","03.04.2022 20:30 - 03.04.2022 20:45 (UTC)","0","4925","15827"
"Germany (DE)","03.04.2022 20:45 - 03.04.2022 21:00 (UTC)","0","5055","16260"
"Germany (DE)","03.04.2022 21:00 - 03.04.2022 21:15 (UTC)","0","5302","16697"
"Germany (DE)","03.04.2022 21:15 - 03.04.2022 21:30 (UTC)","0","5559","16962"
"Germany (DE)","03.04.2022 21:30 - 03.04.2022 21:45 (UTC)","0","5647","17219"
"Germany (DE)","03.04.2022 21:45 - 03.04.2022 22:00 (UTC)","0","5844","17512"
"Germany (DE)","03.04.2022 22:00 - 03.04.2022 22:15 (UTC)","0","5038","17863"
"Germany (DE)","03.04.2022 22:15 - 03.04.2022 22:30 (UTC)","0","4905","17954"
"Germany (DE)","03.04.2022 22:30 - 03.04.2022 22:45 (UTC)","0","4973","18486"
"Germany (DE)","03.04.2022 22:45 - 03.04.2022 23:00 (UTC)","0","5039","18755"
"Germany (DE)","03.04.2022 23:00 - 03.04.2022 23:15 (UTC)","0","5142","19041"
"Germany (DE)","03.04.2022 23:15 - 03.04.2022 23:30 (UTC)","0","5250","19493"
"Germany (DE)","03.04.2022 23:30 - 03.04.2022 23:45 (UTC)","0","5332","19866"
"Germany (DE)","03.04.2022 23:45 - 04.04.2022 00:00 (UTC)","0","5289","20070"
"Germany (DE)","04.04.2022 00:00 - 04.04.2022 00:15 (UTC)","0","5258","20243"
"Germany (DE)","04.04.2022 00:15 - 04.04.2022 00:30 (UTC)","0","5179","20650"
"Germany (DE)","04.04.2022 00:30 - 04.04.2022 00:45 (UTC)","0","5187","21126"
"Germany (DE)","04.04.2022 00:45 - 04.04.2022 01:00 (UTC)","0","5201","21553"
"Germany (DE)","04.04.2022 01:00 - 04.04.2022 01:15 (UTC)","0","5092","22072"
"Germany (DE)","04.04.2022 01:15 - 04.04.2022 01:30 (UTC)","0","5092","22317"
"Germany (DE)","04.04.2022 01:30 - 04.04.2022 01:45 (UTC)","0","5097","22640"
"Germany (DE)","04.04.2022 01:45 - 04.04.2022 02:00 (UTC)","0","5100","23063"
"Germany (DE)","04.04.2022 02:00 - 04.04.2022 02:15 (UTC)","0","4784","23529"
"Germany (DE)","04.04.2022 02:15 - 04.04.2022 02:30 (UTC)","0","4865","24045"
"Germany (DE)","04.04.2022 02:30 - 04.04.2022 02:45 (UTC)","0","4873","24610"
"Germany (DE)","04.04.2022 02:45 - 04.04.2022 03:00 (UTC)","0","4772","25094"
"Germany (DE)","04.04.2022 03:00 - 04.04.2022 03:15 (UTC)","0","4726","25365"
"Germany (DE)","04.04.2022 03:15 - 04.04.2022 03:30 (UTC)","0","4758","25998"
"Germany (DE)","04.04.2022 03:30 - 04.04.2022 03:45 (UTC)","0","4715","26472"
"Germany (DE)","04.04.2022 03:45 - 04.04.2022 04:00 (UTC)","0","4564","26994"
"Germany (DE)","04.04.2022 04:00 - 04.04.2022 04:15 (UTC)","0","4643","28891"
"Germany (DE)","04.04.2022 04:15 - 04.04.2022 04:30 (UTC)","0","4642","29941"
"Germany (DE)","04.04.2022 04:30 - 04.04.2022 04:45 (UTC)","14","4530","30823"
"Germany (DE)","04.04.2022 04:45 - 04.04.2022 05:00 (UTC)","95","4215","31391"
"Germany (DE)","04.04.2022 05:00 - 04.04.2022 05:15 (UTC)","350","4414","31850"
"Germany (DE)","04.04.2022 05:15 - 04.04.2022 05:30 (UTC)","905","4695","32217"
"Germany (DE)","04.04.2022 05:30 - 04.04.2022 05:45 (UTC)","1740","4710","32606"
"Germany (DE)","04.04.2022 05:45 - 04.04.2022 06:00 (UTC)","2782","4710","32902"
"Germany (DE)","04.04.2022 06:00 - 04.04.2022 06:15 (UTC)","3929","4427","33330"
"Germany (DE)","04.04.2022 06:15 - 04.04.2022 06:30 (UTC)","5251","4406","33695"
"Germany (DE)","04.04.2022 06:30 - 04.04.2022 06:45 (UTC)","6695","4402","33681"
"Germany (DE)","04.04.2022 06:45 - 04.04.2022 07:00 (UTC)","8130","4384","34087"
"Germany (DE)","04.04.2022 07:00 - 04.04.2022 07:15 (UTC)","9529","4154","34560"
"Germany (DE)","04.04.2022 07:15 - 04.04.2022 07:30 (UTC)","10875","4157","34692"
"Germany (DE)","04.04.2022 07:30 - 04.04.2022 07:45 (UTC)","12234","4168","35316"
"Germany (DE)","04.04.2022 07:45 - 04.04.2022 08:00 (UTC)","13598","4175","35671"
"Germany (DE)","04.04.2022 08:00 - 04.04.2022 08:15 (UTC)","14704","3963","35788"
"Germany (DE)","04.04.2022 08:15 - 04.04.2022 08:30 (UTC)","15633","4110","35267"
"Germany (DE)","04.04.2022 08:30 - 04.04.2022 08:45 (UTC)","16483","4315","34609"
"Germany (DE)","04.04.2022 08:45 - 04.04.2022 09:00 (UTC)","17103","4338","34675"
"Germany (DE)","04.04.2022 09:00 - 04.04.2022 09:15 (UTC)","17500","4135","35920"
"Germany (DE)","04.04.2022 09:15 - 04.04.2022 09:30 (UTC)","17853","3990","36739"
"Germany (DE)","04.04.2022 09:30 - 04.04.2022 09:45 (UTC)","18147","4025","36515"
"Germany (DE)","04.04.2022 09:45 - 04.04.2022 10:00 (UTC)","18295","3948","36507"
"Germany (DE)","04.04.2022 10:00 - 04.04.2022 10:15 (UTC)","18535","4068","35850"
"Germany (DE)","04.04.2022 10:15 - 04.04.2022 10:30 (UTC)","18620","4066","36302"
"Germany (DE)","04.04.2022 10:30 - 04.04.2022 10:45 (UTC)","18563","4088","36225"
"Germany (DE)","04.04.2022 10:45 - 04.04.2022 11:00 (UTC)","18520","4080","35844"
"Germany (DE)","04.04.2022 11:00 - 04.04.2022 11:15 (UTC)","18445","4342","36412"
"Germany (DE)","04.04.2022 11:15 - 04.04.2022 11:30 (UTC)","18426","4362","35964"
"Germany (DE)","04.04.2022 11:30 - 04.04.2022 11:45 (UTC)","18385","4371","35534"
"Germany (DE)","04.04.2022 11:45 - 04.04.2022 12:00 (UTC)","18307","4364","35380"
"Germany (DE)","04.04.2022 12:00 - 04.04.2022 12:15 (UTC)","18116","4279","34935"
"Germany (DE)","04.04.2022 12:15 - 04.04.2022 12:30 (UTC)","17728","4241","34863"
"Germany (DE)","04.04.2022 12:30 - 04.04.2022 12:45 (UTC)","17109","3957","34913"
"Germany (DE)","04.04.2022 12:45 - 04.04.2022 13:00 (UTC)","16357","3924","36033"
"Germany (DE)","04.04.2022 13:00 - 04.04.2022 13:15 (UTC)","15431","4158","36896"
"Germany (DE)","04.04.2022 13:15 - 04.04.2022 13:30 (UTC)","14630","4294","37385"
"Germany (DE)","04.04.2022 13:30 - 04.04.2022 13:45 (UTC)","13686","4317","38263"
"Germany (DE)","04.04.2022 13:45 - 04.04.2022 14:00 (UTC)","12749","4212","39601"
"Germany (DE)","04.04.2022 14:00 - 04.04.2022 14:15 (UTC)","11757","4227","39435"
"Germany (DE)","04.04.2022 14:15 - 04.04.2022 14:30 (UTC)","10612","4241","40906"
"Germany (DE)","04.04.2022 14:30 - 04.04.2022 14:45 (UTC)","9436","4185","41362"
"Germany (DE)","04.04.2022 14:45 - 04.04.2022 15:00 (UTC)","8313","4149","41330"
"Germany (DE)","04.04.2022 15:00 - 04.04.2022 15:15 (UTC)","7185","3679","41585"
"Germany (DE)","04.04.2022 15:15 - 04.04.2022 15:30 (UTC)","6126","3607","42695"
"Germany (DE)","04.04.2022 15:30 - 04.04.2022 15:45 (UTC)","4979","3619","42737"
"Germany (DE)","04.04.2022 15:45 - 04.04.2022 16:00 (UTC)","3951","3556","42936"
"Germany (DE)","04.04.2022 16:00 - 04.04.2022 16:15 (UTC)","3082","3572","42690"
"Germany (DE)","04.04.2022 16:15 - 04.04.2022 16:30 (UTC)","2285","3585","42651"
"Germany (DE)","04.04.2022 16:30 - 04.04.2022 16:45 (UTC)","1582","3496","42688"
"Germany (DE)","04.04.2022 16:45 - 04.04.2022 17:00 (UTC)","1063","3467","42619"
"Germany (DE)","04.04.2022 17:00 - 04.04.2022 17:15 (UTC)","626","3422","42673"
"Germany (DE)","04.04.2022 17:15 - 04.04.2022 17:30 (UTC)","288","3422","42523"
"Germany (DE)","04.04.2022 17:30 - 04.04.2022 17:45 (UTC)","80","3393","42273"
"Germany (DE)","04.04.2022 17:45 - 04.04.2022 18:00 (UTC)","9","3363","42005"
"Germany (DE)","04.04.2022 18:00 - 04.04.2022 18:15 (UTC)","2","3629","42120"
"Germany (DE)","04.04.2022 18:15 - 04.04.2022 18:30 (UTC)","1","3609","42346"
"Germany (DE)","04.04.2022 18:30 - 04.04.2022 18:45 (UTC)","0","3571","41877"
"Germany (DE)","04.04.2022 18:45 - 04.04.2022 19:00 (UTC)","0","3524","41348"
"Germany (DE)","04.04.2022 19:00 - 04.04.2022 19:15 (UTC)","0","3956","40436"
"Germany (DE)","04.04.2022 19:15 - 04.04.2022 19:30 (UTC)","0","3880","39757"
"Germany (DE)","04.04.2022 19:30 - 04.04.2022 19:45 (UTC)","0","3795","39304"
"Germany (DE)","04.04.2022 19:45 - 04.04.2022 20:00 (UTC)","0","3665","39164"
"Germany (DE)","04.04.2022 20:00 - 04.04.2022 20:15 (UTC)","0","3511","36959"
"Germany (DE)","04.04.2022 20:15 - 04.04.2022 20:30 (UTC)","0","3459","37172"
"Germany (DE)","04.04.2022 20:30 - 04.04.2022 20:45 (UTC)","0","3279","37281"
"Germany (DE)","04.04.2022 20:45 - 04.04.2022 21:00 (UTC)","0","3097","36728"
"Germany (DE)","04.04.2022 21:00 - 04.04.2022 21:15 (UTC)","0","3329","36253"
"Germany (DE)","04.04.2022 21:15 - 04.04.2022 21:30 (UTC)","0","3281","36126"
"Germany (DE)","04.04.2022 21:30 - 04.04.2022 21:45 (UTC)","0","3228","35645"
"Germany (DE)","04.04.2022 21:45 - 04.04.2022 22:00 (UTC)","0","3207","35000"
"Germany (DE)","04.04.2022 22:00 - 04.04.2022 22:15 (UTC)","0","3870","34489"
"Germany (DE)","04.04.2022 22:15 - 04.04.2022 22:30 (UTC)","0","4171","34511"
"Germany (DE)","04.04.2022 22:30 - 04.04.2022 22:45 (UTC)","0","4208","34262"
"Germany (DE)","04.04.2022 22:45 - 04.04.2022 23:00 (UTC)","0","4241","33858"
"Germany (DE)","04.04.2022 23:00 - 04.04.2022 23:15 (UTC)","0","4349","34182"
"Germany (DE)","04.04.2022 23:15 - 04.04.2022 23:30 (UTC)","0","4319","33776"
"Germany (DE)","04.04.2022 23:30 - 04.04.2022 23:45 (UTC)","0","4292","33238"
"Germany (DE)","04.04.2022 23:45 - 05.04.2022 00:00 (UTC)","0","4300","33319"
"Germany (DE)","05.04.2022 00:00 - 05.04.2022 00:15 (UTC)","0","4298","33013"
"Germany (DE)","05.04.2022 00:15 - 05.04.2022 00:30 (UTC)","0","4159","32996"
"Germany (DE)","05.04.2022 00:30 - 05.04.2022 00:45 (UTC)","0","4088","32855"
"Germany (DE)","05.04.2022 00:45 - 05.04.2022 01:00 (UTC)","0","3997","32816"
"Germany (DE)","05.04.2022 01:00 - 05.04.2022 01:15 (UTC)","0","4097","32606"
"Germany (DE)","05.04.2022 01:15 - 05.04.2022 01:30 (UTC)","0","4032","32023"
"Germany (DE)","05.04.2022 01:30 - 05.04.2022 01:45 (UTC)","0","3878","31674"
"Germany (DE)","05.04.2022 01:45 - 05.04.2022 02:00 (UTC)","0","3789","31408"
"Germany (DE)","05.04.2022 02:00 - 05.04.2022 02:15 (UTC)","0","3697","30907"
"Germany (DE)","05.04.2022 02:15 - 05.04.2022 02:30 (UTC)","0","3702","30485"
"Germany (DE)","05.04.2022 02:30 - 05.04.2022 02:45 (UTC)","0","3681","30153"
"Germany (DE)","05.04.2022 02:45 - 05.04.2022 03:00 (UTC)","0","3571","29653"
"Germany (DE)","05.04.2022 03:00 - 05.04.2022 03:15 (UTC)","0","3507","28771"
"Germany (DE)","05.04.2022 03:15 - 05.04.2022 03:30 (UTC)","0","3368","28304"
"Germany (DE)","05.04.2022 03:30 - 05.04.2022 03:45 (UTC)","0","3316","27817"
"Germany (DE)","05.04.2022 03:45 - 05.04.2022 04:00 (UTC)","0","3293","27577"
"Germany (DE)","05.04.2022 04:00 - 05.04.2022 04:15 (UTC)","0","3404","27171"
"Germany (DE)","05.04.2022 04:15 - 05.04.2022 04:30 (UTC)","1","3283","26866"
"Germany (DE)","05.04.2022 04:30 - 05.04.2022 04:45 (UTC)","15","3227","26090"
"Germany (DE)","05.04.2022 04:45 - 05.04.2022 05:00 (UTC)","87","3133","25383"
"Germany (DE)","05.04.2022 05:00 - 05.04.2022 05:15 (UTC)","193","3399","24745"
"Germany (DE)","05.04.2022 05:15 - 05.04.2022 05:30 (UTC)","388","3410","24185"
"Germany (DE)","05.04.2022 05:30 - 05.04.2022 05:45 (UTC)","691","3375","23307"
"Germany (DE)","05.04.2022 05:45 - 05.04.2022 06:00 (UTC)","1096","3215","22629"
"Germany (DE)","05.04.2022 06:00 - 05.04.2022 06:15 (UTC)","1581","2960","22137"
"Germany (DE)","05.04.2022 06:15 - 05.04.2022 06:30 (UTC)","2160","2599","21613"
"Germany (DE)","05.04.2022 06:30 - 05.04.2022 06:45 (UTC)","2789","2510","21033"
"Germany (DE)","05.04.2022 06:45 - 05.04.2022 07:00 (UTC)","3422","2651","20184"
"Germany (DE)","05.04.2022 07:00 - 05.04.2022 07:15 (UTC)","4200","2545","19698"
"Germany (DE)","05.04.2022 07:15 - 05.04.2022 07:30 (UTC)","4999","2500","19653"
"Germany (DE)","05.04.2022 07:30 - 05.04.2022 07:45 (UTC)","5712","2390","19775"
"Germany (DE)","05.04.2022 07:45 - 05.04.2022 08:00 (UTC)","6340","1939","20010"
