"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2022 16:00 - 01.01.2022 16:15 (UTC)","0","6152","11938"
"Germany (DE)","01.01.2022 16:15 - 01.01.2022 16:30 (UTC)","0","6091","12507"
"Germany (DE)","01.01.2022 16:30 - 01.01.2022 16:45 (UTC)","0","6034","13124"
"Germany (DE)","01.01.2022 16:45 - 01.01.2022 17:00 (UTC)","0","6043","13601"
"Germany (DE)","01.01.2022 17:00 - 01.01.2022 17:15 (UTC)","0","6052","14163"
"Germany (DE)","01.01.2022 17:15 - 01.01.2022 17:30 (UTC)","0","6038","14625"
"Germany (DE)","01.01.2022 17:30 - 01.01.2022 17:45 (UTC)","0","6044","15049"
"Germany (DE)","01.01.2022 17:45 - 01.01.2022 18:00 (UTC)","0","6060","15762"
"Germany (DE)","01.01.2022 18:00 - 01.01.2022 18:15 (UTC)","0","6071","16419"
"Germany (DE)","01.01.2022 18:15 - 01.01.2022 18:30 (UTC)","0","6085","16698"
"Germany (DE)","01.01.2022 18:30 - 01.01.2022 18:45 (UTC)","0","6089","17079"
"Germany (DE)","01.01.2022 18:45 - 01.01.2022 19:00 (UTC)","0","6099","17438"
"Germany (DE)","01.01.2022 19:00 - 01.01.2022 19:15 (UTC)","0","6139","17880"
"Germany (DE)","01.01.2022 19:15 - 01.01.2022 19:30 (UTC)","0","6190","17919"
"Germany (DE)","01.01.2022 19:30 - 01.01.2022 19:45 (UTC)","0","6272","17959"
"Germany (DE)","01.01.2022 19:45 - 01.01.2022 20:00 (UTC)","0","6329","18056"
"Germany (DE)","01.01.2022 20:00 - 01.01.2022 20:15 (UTC)","0","6399","18021"
"Germany (DE)","01.01.2022 20:15 - 01.01.2022 20:30 (UTC)","0","6461","18282"
"Germany (DE)","01.01.2022 20:30 - 01.01.2022 20:45 (UTC)","0","6498","18444"
"Germany (DE)","01.01.2022 20:45 - 01.01.2022 21:00 (UTC)","0","6535","18693"
"Germany (DE)","01.01.2022 21:00 - 01.01.2022 21:15 (UTC)","0","6663","18175"
"Germany (DE)","01.01.2022 21:15 - 01.01.2022 21:30 (UTC)","0","6725","18531"
"Germany (DE)","01.01.2022 21:30 - 01.01.2022 21:45 (UTC)","0","6775","18672"
"Germany (DE)","01.01.2022 21:45 - 01.01.2022 22:00 (UTC)","0","6810","18692"
"Germany (DE)","01.01.2022 22:00 - 01.01.2022 22:15 (UTC)","0","6838","18672"
"Germany (DE)","01.01.2022 22:15 - 01.01.2022 22:30 (UTC)","0","6946","18830"
"Germany (DE)","01.01.2022 22:30 - 01.01.2022 22:45 (UTC)","0","6979","18808"
"Germany (DE)","01.01.2022 22:45 - 01.01.2022 23:00 (UTC)","0","6968","18868"
"Germany (DE)","01.01.2022 23:00 - 01.01.2022 23:15 (UTC)","0","6934","19208"
"Germany (DE)","01.01.2022 23:15 - 01.01.2022 23:30 (UTC)","0","6945","19168"
"Germany (DE)","01.01.2022 23:30 - 01.01.2022 23:45 (UTC)","0","6960","18803"
"Germany (DE)","01.01.2022 23:45 - 02.01.2022 00:00 (UTC)","0","6935","18309"
"Germany (DE)","02.01.2022 00:00 - 02.01.2022 00:15 (UTC)","0","6894","18597"
"Germany (DE)","02.01.2022 00:15 - 02.01.2022 00:30 (UTC)","0","6823","19100"
"Germany (DE)","02.01.2022 00:30 - 02.01.2022 00:45 (UTC)","0","6790","19530"
"Germany (DE)","02.01.2022 00:45 - 02.01.2022 01:00 (UTC)","0","6833","17777"
"Germany (DE)","02.01.2022 01:00 - 02.01.2022 01:15 (UTC)","0","6867","17655"
"Germany (DE)","02.01.2022 01:15 - 02.01.2022 01:30 (UTC)","0","6817","18219"
"Germany (DE)","02.01.2022 01:30 - 02.01.2022 01:45 (UTC)","0","6736","17972"
"Germany (DE)","02.01.2022 01:45 - 02.01.2022 02:00 (UTC)","0","6715","17973"
"Germany (DE)","02.01.2022 02:00 - 02.01.2022 02:15 (UTC)","0","6303","18343"
"Germany (DE)","02.01.2022 02:15 - 02.01.2022 02:30 (UTC)","0","6312","18887"
"Germany (DE)","02.01.2022 02:30 - 02.01.2022 02:45 (UTC)","0","6246","19118"
"Germany (DE)","02.01.2022 02:45 - 02.01.2022 03:00 (UTC)","0","6236","18927"
"Germany (DE)","02.01.2022 03:00 - 02.01.2022 03:15 (UTC)","0","6087","17907"
"Germany (DE)","02.01.2022 03:15 - 02.01.2022 03:30 (UTC)","0","6089","17823"
"Germany (DE)","02.01.2022 03:30 - 02.01.2022 03:45 (UTC)","0","6049","18137"
"Germany (DE)","02.01.2022 03:45 - 02.01.2022 04:00 (UTC)","0","5924","17955"
"Germany (DE)","02.01.2022 04:00 - 02.01.2022 04:15 (UTC)","0","6212","18468"
"Germany (DE)","02.01.2022 04:15 - 02.01.2022 04:30 (UTC)","0","6317","18498"
"Germany (DE)","02.01.2022 04:30 - 02.01.2022 04:45 (UTC)","0","6484","17848"
"Germany (DE)","02.01.2022 04:45 - 02.01.2022 05:00 (UTC)","0","6243","17211"
"Germany (DE)","02.01.2022 05:00 - 02.01.2022 05:15 (UTC)","0","6145","18551"
"Germany (DE)","02.01.2022 05:15 - 02.01.2022 05:30 (UTC)","0","5912","18520"
"Germany (DE)","02.01.2022 05:30 - 02.01.2022 05:45 (UTC)","0","6092","19156"
"Germany (DE)","02.01.2022 05:45 - 02.01.2022 06:00 (UTC)","0","5853","19045"
"Germany (DE)","02.01.2022 06:00 - 02.01.2022 06:15 (UTC)","0","5491","19441"
"Germany (DE)","02.01.2022 06:15 - 02.01.2022 06:30 (UTC)","0","5391","20257"
"Germany (DE)","02.01.2022 06:30 - 02.01.2022 06:45 (UTC)","0","5239","20917"
"Germany (DE)","02.01.2022 06:45 - 02.01.2022 07:00 (UTC)","2","5387","21343"
"Germany (DE)","02.01.2022 07:00 - 02.01.2022 07:15 (UTC)","15","5684","22087"
"Germany (DE)","02.01.2022 07:15 - 02.01.2022 07:30 (UTC)","154","5711","22530"
"Germany (DE)","02.01.2022 07:30 - 02.01.2022 07:45 (UTC)","491","5616","22365"
"Germany (DE)","02.01.2022 07:45 - 02.01.2022 08:00 (UTC)","849","5472","22662"
"Germany (DE)","02.01.2022 08:00 - 02.01.2022 08:15 (UTC)","1307","5253","22977"
"Germany (DE)","02.01.2022 08:15 - 02.01.2022 08:30 (UTC)","1802","5229","23584"
"Germany (DE)","02.01.2022 08:30 - 02.01.2022 08:45 (UTC)","2361","5035","23540"
"Germany (DE)","02.01.2022 08:45 - 02.01.2022 09:00 (UTC)","2999","4877","23723"
"Germany (DE)","02.01.2022 09:00 - 02.01.2022 09:15 (UTC)","3562","5290","24541"
"Germany (DE)","02.01.2022 09:15 - 02.01.2022 09:30 (UTC)","4095","5459","24786"
"Germany (DE)","02.01.2022 09:30 - 02.01.2022 09:45 (UTC)","4343","5397","24798"
"Germany (DE)","02.01.2022 09:45 - 02.01.2022 10:00 (UTC)","4787","5576","25332"
"Germany (DE)","02.01.2022 10:00 - 02.01.2022 10:15 (UTC)","5050","5801","26042"
"Germany (DE)","02.01.2022 10:15 - 02.01.2022 10:30 (UTC)","5269","6044","26225"
"Germany (DE)","02.01.2022 10:30 - 02.01.2022 10:45 (UTC)","5570","6219","26578"
"Germany (DE)","02.01.2022 10:45 - 02.01.2022 11:00 (UTC)","5740","6401","27044"
